houseid,ntrip,hhsize,num0to4,num5to21,numadult,numwork,numdrive,income,numcars
19789,5,2,0,0,2,2,2,36153,1
19797,2,2,0,0,2,0,2,36153,2
19802,2,1,0,0,1,1,1,27500,2
19811,2,2,0,0,2,0,2,27500,2
19820,17,2,0,0,2,2,2,57500,2
19823,8,2,0,1,1,0,2,32500,2
19842,14,3,0,1,2,2,2,52500,2
19859,0,1,0,0,1,0,0,7500,0
19894,2,4,1,1,2,1,2,47500,2
19896,6,1,0,0,1,1,1,27500,1
19898,7,2,0,0,2,1,2,52500,2
19904,8,2,0,0,2,0,2,17500,2
19914,11,3,0,0,3,2,2,37500,3
19921,2,1,0,0,1,1,1,27500,2
19923,0,2,0,0,2,2,2,40565,2
19941,0,1,0,0,1,0,1,7500,1
19971,2,1,0,0,1,0,1,37500,1
19972,4,2,0,0,2,0,2,32500,2
19976,9,3,0,1,2,1,1,72500,2
19991,22,9,1,3,5,4,5,42500,5
20010,8,2,0,0,2,0,2,35571,2
20011,10,4,0,0,4,4,4,100000,6
20028,14,4,0,2,2,3,3,37500,3
20033,4,5,1,2,2,1,2,35571,3
20035,2,4,2,0,2,2,2,42500,1
20050,0,2,0,1,1,1,1,2500,1
20057,2,2,0,0,2,1,2,17500,2
20068,10,2,0,0,2,1,2,27500,2
20098,0,1,0,0,1,1,1,22500,2
20103,7,2,0,0,2,1,2,32665,2
20106,2,2,0,0,2,1,2,57500,2
20118,4,2,0,1,1,1,1,17500,1
20123,6,3,0,0,3,2,3,47500,2
20125,9,1,0,0,1,1,1,17500,1
20135,2,1,0,0,1,1,1,12500,0
20156,2,1,0,0,1,0,0,17500,1
20164,4,2,0,0,2,1,1,32665,3
20166,2,1,0,0,1,1,1,37500,1
20188,5,2,0,0,2,2,2,57500,2
20190,6,3,0,0,3,0,1,32665,1
20198,4,4,0,2,2,2,2,32665,2
20199,13,5,1,2,2,1,1,57500,2
20224,8,4,1,1,2,2,2,42500,2
20226,7,6,0,1,5,5,5,67500,4
20246,10,2,0,0,2,2,2,32100,2
20249,11,4,1,1,2,3,3,52500,5
20252,10,2,0,0,2,2,2,32500,2
20254,23,4,0,0,4,3,4,100000,5
20255,17,4,0,2,2,1,2,47500,3
20257,0,4,2,0,2,1,2,37500,3
20278,11,4,0,0,4,3,3,17500,2
20279,19,5,0,0,5,1,3,52500,4
20291,6,3,0,1,2,1,2,32100,2
20329,4,1,0,0,1,1,1,12500,1
20346,18,3,1,0,2,1,2,42500,1
