ntrips,hhsize,nchlt12,nchgt12,nworker,nstudent,ncar,income,resloc
11,1,0,0,0,0,0,12000,2
9,1,0,0,0,0,0,12000,2
122,5,0,3,2,2,1,43000,2
60,7,5,0,0,0,0,12000,2
54,3,0,1,1,0,1,31000,2
25,2,0,0,0,0,0,31000,2
90,4,0,2,2,1,1,31000,2
54,2,0,0,0,0,1,20500,2
34,3,0,1,2,0,0,43000,2
122,4,0,2,2,2,1,43000,2
108,4,0,2,1,2,2,43000,2
19,4,2,0,1,0,1,43000,2
65,4,2,0,2,0,1,43000,2
64,4,2,0,1,0,1,31000,2
56,4,2,0,2,0,1,31000,2
64,4,2,0,1,0,2,43000,2
17,1,0,0,0,0,1,31000,2
34,2,0,0,0,0,1,31000,2
51,2,0,0,0,0,1,20500,2
46,4,2,0,1,0,1,31000,2
69,2,0,0,2,0,1,43000,2
75,4,2,0,1,0,1,31000,2
59,2,0,0,1,0,1,20500,2
5,1,0,0,0,0,0,12000,2
82,3,1,0,1,0,1,31000,2
24,2,0,0,2,0,1,43000,2
6,1,0,0,0,0,0,12000,2
18,1,0,0,0,0,0,12000,2
16,2,0,0,0,0,1,20500,2
58,2,0,0,1,0,1,31000,2
19,1,0,0,0,0,0,12000,2
29,2,0,1,1,0,2,31000,2
5,1,0,0,0,0,1,12000,2
44,3,1,0,1,0,1,20500,2
65,2,0,0,2,0,1,31000,2
13,1,0,0,0,0,0,12000,2
18,2,0,0,2,0,1,31000,2
13,2,0,0,2,0,1,31000,2
23,2,0,0,2,0,1,31000,2
42,2,0,0,2,0,0,12000,2
46,2,0,0,1,0,1,31000,2
16,1,0,0,1,0,1,43000,3
47,4,1,1,2,1,1,20500,1
89,2,0,0,1,0,1,31000,1
23,1,0,0,0,1,0,12000,1
55,2,0,0,0,2,0,12000,1
16,1,0,0,0,0,1,31000,3
62,4,0,2,1,2,2,20500,3
77,4,1,1,1,1,1,31000,3
45,4,2,0,2,0,1,31000,3
117,4,0,2,1,2,1,31000,3
37,4,2,0,1,0,1,31000,3
38,2,0,1,0,1,1,20500,3
87,4,0,2,1,2,2,31000,3
4,1,0,0,0,0,1,12000,3
50,4,2,0,2,0,1,43000,3
69,2,0,0,2,0,1,43000,3
29,2,0,0,0,0,1,43000,3
26,1,0,0,0,0,1,20500,3
35,4,2,0,1,0,1,20500,3
77,4,1,1,1,1,1,31000,3
68,5,2,1,1,1,1,31000,3
20,5,3,0,1,0,1,43000,3
37,4,2,0,0,0,1,20500,3
3,1,0,0,0,0,1,20500,3
48,4,0,2,1,2,1,31000,3
112,4,1,1,2,1,1,31000,3
73,2,0,0,1,0,1,20500,3
7,2,1,0,0,0,1,12000,3
26,4,2,0,2,0,1,43000,3
17,3,1,0,1,0,1,20500,3
20,3,1,0,1,0,1,31000,3
56,4,2,0,0,0,1,12000,3
78,4,0,2,1,2,1,43000,3
49,3,0,2,0,3,1,12000,3
46,4,2,0,1,0,1,31000,3
29,4,2,0,2,0,1,31000,3
29,2,0,0,0,0,1,43000,3
69,4,0,2,2,1,1,31000,3
12,2,0,0,0,0,1,31000,3
55,2,0,0,1,1,1,20500,3
68,4,2,0,2,0,1,43000,3
59,2,0,0,1,0,1,31000,3
48,5,2,1,1,1,0,20500,1
28,4,2,0,1,0,1,43000,1
30,4,2,0,1,0,1,20500,1
28,1,0,0,0,0,1,20500,1
43,4,2,0,0,1,0,20500,1
21,1,0,0,0,0,0,12000,1
16,4,2,0,1,0,1,31000,1
70,4,1,1,1,1,1,31000,1
87,6,3,1,0,1,0,12000,1
100,4,1,1,2,1,2,43000,1
119,4,0,2,2,2,1,43000,1
117,4,0,2,2,2,1,43000,1
65,3,0,1,1,0,1,43000,1
54,2,0,0,2,0,1,43000,1
44,2,0,0,1,0,1,31000,1
51,2,0,0,2,0,1,43000,1
112,4,1,1,1,1,1,31000,1
42,3,1,0,1,0,1,20500,1
38,4,2,0,1,0,1,20500,1
18,2,0,0,1,0,1,43000,1
70,5,1,2,1,2,2,43000,1
56,4,2,0,1,0,1,31000,1
6,1,0,0,1,0,1,31000,1
58,4,2,0,1,0,1,43000,1
33,5,3,0,1,0,1,20500,1
117,6,2,1,0,2,0,43000,1
107,4,0,2,2,1,1,31000,1
84,5,1,2,1,2,1,31000,1
52,2,0,0,2,0,1,43000,1
24,4,2,0,1,0,1,31000,1
44,4,1,1,2,1,1,43000,1
102,4,0,3,1,2,1,31000,1
58,3,0,1,1,1,1,31000,1
118,4,0,2,1,2,1,43000,1
116,7,2,3,1,3,2,31000,1
7,1,0,0,1,0,1,20500,1
77,5,3,0,2,0,1,43000,1
78,2,0,0,1,0,1,43000,1
119,7,1,4,2,1,3,43000,1
36,1,0,0,1,0,1,20500,1
24,5,3,0,2,0,1,31000,1
71,4,0,2,1,2,0,31000,1
31,2,0,1,1,1,0,12000,1
29,2,0,0,0,0,1,31000,1
83,4,1,1,1,1,1,31000,1
6,1,0,0,1,0,1,12000,1
57,4,0,2,1,2,1,20500,1
71,3,0,1,1,1,1,43000,1
75,4,0,2,2,1,1,31000,1
24,2,0,0,0,0,1,12000,1
13,2,0,0,0,0,0,20500,1
38,2,0,1,0,1,1,20500,1
22,2,0,0,0,0,1,31000,1
124,4,0,2,2,2,1,31000,1
67,2,0,1,1,1,1,31000,1
68,3,0,1,0,1,1,31000,1
44,2,0,0,2,0,1,43000,1
19,1,0,0,1,0,1,20500,1
22,1,0,0,0,1,1,12000,1
48,2,0,0,2,0,1,20500,2
47,4,2,0,2,0,0,43000,1
52,3,0,1,2,1,1,43000,3
26,4,2,0,0,0,1,20500,3
33,2,0,0,2,0,1,43000,3
49,2,0,0,2,0,1,43000,1
19,1,0,0,1,0,1,20500,1
25,2,0,0,2,0,0,43000,1
41,2,0,0,2,0,1,43000,1
26,1,0,0,1,0,1,31000,2
23,2,0,0,0,0,1,43000,3
64,4,2,0,2,0,1,43000,2
